id,x,y
0,-6.80242,2.30849
0,-6.80614,2.30916
0,-6.83579,2.30818
0,-6.86481,2.30756
0,-6.90103,2.30709
0,-6.93189,2.30343
0,-6.96344,2.30493
0,-6.9791,2.30545
0,-6.99309,2.30531
0,-6.99668,2.32067
0,-6.99774,2.33876
0,-6.99822,2.36047
0,-6.99791,2.3679
0,-6.99814,2.38335
0,-6.99814,2.40622
0,-6.99903,2.42725
0,-7.00012,2.43992
0,-7.00075,2.4485
0,-7.00947,2.45063
0,-7.04595,2.45001
0,-7.09411,2.44859
0,-7.11122,2.44864
0,-7.12459,2.44823
0,-7.14139,2.44709
0,-7.15149,2.44885
0,-7.18176,2.46518
0,-7.19254,2.47138
0,-7.19547,2.47378
0,-7.19818,2.47694
0,-7.20383,2.48352
0,-7.24383,2.53213
0,-7.25723,2.54986
0,-7.27688,2.57794
0,-7.28197,2.58512
0,-7.28994,2.59591
0,-7.29262,2.60008
0,-7.29904,2.60918
0,-7.31011,2.62043
0,-7.31704,2.62715
0,-7.32553,2.63509
0,-7.32833,2.63809
0,-7.34811,2.65591
0,-7.36055,2.66719
0,-7.37342,2.67953
0,-7.39243,2.69709
0,-7.40038,2.70464
0,-7.40325,2.70715
0,-7.4061,2.71857
0,-7.40624,2.7282
0,-7.40649,2.73521
0,-7.40692,2.74756
0,-7.40689,2.74913
0,-7.40702,2.75396
0,-7.40733,2.76888
0,-7.40737,2.77342
0,-7.40697,2.77729
0,-7.40706,2.78124
0,-7.40738,2.784
0,-7.40174,2.78533
0,-7.39734,2.78576
0,-7.39562,2.78579
0,-7.3885,2.78553
0,-7.37606,2.78573
0,-7.37271,2.78614
0,-7.36736,2.78623
0,-7.36082,2.78553
0,-7.35013,2.77862
0,-7.34724,2.77636
0,-7.33656,2.77444
1,-6.80065,2.30807
1,-6.80072,2.31293
1,-6.80159,2.33905
1,-6.80207,2.35645
1,-6.80191,2.35965
1,-6.80183,2.37074
1,-6.803,2.40445
1,-6.80383,2.43245
1,-6.80415,2.44629
1,-6.80402,2.44816
1,-6.80391,2.45107
1,-6.80691,2.5194
1,-6.80781,2.53435
1,-6.8078,2.53433
1,-6.8078,2.53686
1,-6.80802,2.53743
1,-6.80851,2.53959
1,-6.80867,2.5409
1,-6.81357,2.54219
1,-6.81551,2.54221
1,-6.82272,2.54348
1,-6.83523,2.54572
1,-6.83865,2.54526
1,-6.83896,2.54579
1,-6.84019,2.54843
1,-6.85426,2.5504
1,-6.85628,2.55076
1,-6.86654,2.55279
1,-6.87606,2.55482
1,-6.88319,2.55569
1,-6.8918,2.5569
1,-6.90528,2.55859
1,-6.92153,2.5609
1,-6.92561,2.56124
1,-6.93294,2.56257
1,-6.94127,2.56433
1,-6.95181,2.56665
1,-6.95428,2.57378
1,-6.95203,2.58893
1,-6.93646,2.60562
1,-6.92489,2.62129
1,-6.92854,2.63779
1,-6.9405,2.64869
1,-6.95788,2.65995
1,-6.97428,2.67302
1,-6.97804,2.68316
1,-6.97136,2.70248
1,-6.97161,2.70999
1,-6.97999,2.72245
1,-6.97699,2.73164
1,-6.99422,2.74023
1,-7.02029,2.74626
1,-7.02824,2.74602
1,-7.03598,2.74009
1,-7.04278,2.7343
1,-7.05877,2.73036
1,-7.0765,2.72959
1,-7.09167,2.72952
1,-7.10196,2.72971
1,-7.11282,2.73066
